instance time_smart smart
instances/train/Correia_Random_1_3_8_7.txt 0 7900
instances/train/Correia_Random_1_3_3_3.txt 0 7850
instances/train/Correia_Random_1_2_11_10.txt 1 7950
instances/train/Correia_Random_1_3_5_4.txt 0 7850
instances/train/Correia_Random_1_2_10_6.txt 0 6960
instances/train/Correia_Random_1_1_0_9.txt 0 4900
instances/train/Correia_Random_2_1_1_10.txt 1 10710
instances/train/Correia_Random_1_2_3_4.txt 0 6340
instances/train/Correia_Random_2_1_11_8.txt 5 14690
instances/train/Correia_Random_1_2_1_2.txt 0 6130
instances/train/Correia_Random_1_2_9_5.txt 1 6380
instances/train/Correia_Random_1_1_11_6.txt 1 7740
instances/train/Correia_Random_2_2_2_6.txt 4 12640
instances/train/Correia_Random_2_1_6_8.txt 5 10600
instances/train/Correia_Random_2_3_5_2.txt 1 15390
instances/train/Correia_Random_2_2_5_10.txt 3 11840
instances/train/Correia_Random_1_2_7_1.txt 0 6140
instances/train/Correia_Random_1_3_9_5.txt 0 7920
instances/train/Correia_Random_2_3_5_8.txt 2 14940
instances/train/Correia_Random_1_1_11_10.txt 1 8050
instances/train/Correia_Random_1_3_10_1.txt 0 8190
instances/train/Correia_Random_2_3_9_6.txt 1 16200
instances/train/Correia_Random_1_2_2_7.txt 0 6100
instances/train/Correia_Random_2_1_0_5.txt 1 9960
instances/train/Correia_Random_2_1_2_4.txt 1 10820
instances/train/Correia_Random_2_2_6_9.txt 3 12310
instances/train/Correia_Random_1_3_11_4.txt 0 9320
instances/train/Correia_Random_1_2_10_1.txt 1 6880
instances/train/Correia_Random_2_2_9_2.txt 6 12650
instances/train/Correia_Random_2_1_8_6.txt 7 10160
instances/train/Correia_Random_2_2_0_5.txt 2 12210
instances/train/Correia_Random_1_2_9_10.txt 1 5950
instances/train/Correia_Random_2_1_7_7.txt 5 10400
instances/train/Correia_Random_2_2_5_4.txt 3 12370
instances/train/Correia_Random_2_1_11_7.txt 6 14300
instances/train/Correia_Random_2_2_5_6.txt 3 12610
instances/train/Correia_Random_1_3_11_10.txt 0 9000
instances/train/Correia_Random_2_3_5_10.txt 1 15100
instances/train/Correia_Random_1_1_7_3.txt 1 5230
instances/train/Correia_Random_1_2_1_9.txt 0 6210
instances/train/Correia_Random_2_3_2_3.txt 1 15050
instances/train/Correia_Random_1_1_5_1.txt 0 5370
instances/train/Correia_Random_2_1_2_5.txt 1 10020
instances/train/Correia_Random_1_3_7_9.txt 0 7700
instances/train/Correia_Random_2_1_3_9.txt 3 10060
instances/train/Correia_Random_1_2_4_7.txt 0 6160
instances/train/Correia_Random_1_2_0_6.txt 0 6160
instances/train/Correia_Random_1_3_1_7.txt 0 7650
instances/train/Correia_Random_2_1_9_9.txt 4 10890
instances/train/Correia_Random_1_2_7_2.txt 1 6420
instances/train/Correia_Random_2_3_7_5.txt 1 15600
instances/train/Correia_Random_2_2_9_6.txt 2 13180
instances/train/Correia_Random_1_1_8_10.txt 0 5430
instances/train/Correia_Random_1_1_5_6.txt 0 5110
instances/train/Correia_Random_2_2_8_10.txt 5 12040
instances/train/Correia_Random_2_2_1_5.txt 3 12280
instances/train/Correia_Random_1_3_4_1.txt 0 7600
instances/train/Correia_Random_2_2_0_2.txt 2 11830
instances/train/Correia_Random_1_3_11_9.txt 0 9160
instances/train/Correia_Random_2_1_8_4.txt 4 11230
instances/train/Correia_Random_1_2_7_10.txt 1 5690
instances/train/Correia_Random_2_3_2_7.txt 2 15350
instances/train/Correia_Random_1_2_9_7.txt 1 6650
